"Time","10-11 Riser Return","10-11 Riser Supply"
"2019-05-11 02:27:00",,77.2
"2019-05-11 02:29:11",88.3
"2019-05-11 02:32:56",,77.1
"2019-05-11 02:35:08",88.2
"2019-05-11 02:38:52",,77
"2019-05-11 02:41:04",88.3
"2019-05-11 02:44:51",,76.9
"2019-05-11 02:47:05",88.4
"2019-05-11 02:50:46",,76.7
"2019-05-11 02:53:05",88.8
"2019-05-11 02:56:45",,76.5
"2019-05-11 02:58:55",88.9
"2019-05-11 03:02:41",,76.4
"2019-05-11 03:04:53",89.1
"2019-05-11 03:08:38",,76.4
"2019-05-11 03:10:53",89.3
"2019-05-11 03:14:35",,76.3
"2019-05-11 03:16:46",89.4
"2019-05-11 03:20:32",,76.2
"2019-05-11 03:22:41",89.6
"2019-05-11 03:26:29",,76.2
"2019-05-11 03:28:37",89.8
"2019-05-11 03:32:25",,75.8
"2019-05-11 03:34:34",90.1
"2019-05-11 03:38:23",,75.8
"2019-05-11 03:40:30",89.8
"2019-05-11 03:44:19",,75.8
"2019-05-11 03:46:27",89.7
"2019-05-11 03:50:17",,75.7
"2019-05-11 03:52:23",89.4
"2019-05-11 03:56:14",,75.7
"2019-05-11 03:58:20",89.3
"2019-05-11 04:02:20",,75.5
"2019-05-11 04:04:18",89.1
"2019-05-11 04:08:13",,75.5
"2019-05-11 04:10:14",89.1
"2019-05-11 04:14:06",,75.5
"2019-05-11 04:16:24",89.3
"2019-05-11 04:20:04",,75.3
"2019-05-11 04:22:08",89.3
"2019-05-11 04:26:00",,75.1
"2019-05-11 04:28:05",89.6
"2019-05-11 04:31:56",,75.1
"2019-05-11 04:34:01",89.6
"2019-05-11 04:38:02",,75.1
"2019-05-11 04:39:59",89.6
"2019-05-11 04:44:00",,75
"2019-05-11 04:45:55",89.8
"2019-05-11 04:49:47",,75
"2019-05-11 04:51:52",89.6
"2019-05-11 04:55:44",,75
"2019-05-11 04:57:49",89.2
"2019-05-11 05:01:41",,74.8
"2019-05-11 05:03:47",88.8
"2019-05-11 05:07:37",,74.6
"2019-05-11 05:09:44",88.4
"2019-05-11 05:13:34",,74.6
"2019-05-11 05:15:39",88.8
"2019-05-11 05:19:30",,74.6
"2019-05-11 05:21:36",89.2
"2019-05-11 05:25:28",,74.4
"2019-05-11 05:27:40",89.4
"2019-05-11 05:31:26",,74.4
"2019-05-11 05:33:27",89.6
"2019-05-11 05:37:23",,74.4
"2019-05-11 05:39:24",89.3
"2019-05-11 05:43:18",,74.3
"2019-05-11 05:45:26",89.1
"2019-05-11 05:49:16",,74.3
"2019-05-11 05:51:22",88.9
"2019-05-11 05:55:14",,74.1
"2019-05-11 05:57:16",88.8
"2019-05-11 06:01:11",,73.9
"2019-05-11 06:03:13",88.5
"2019-05-11 06:07:07",,73.9
"2019-05-11 06:09:10",88.2
"2019-05-11 06:13:04",,73.9
"2019-05-11 06:15:07",87.9
"2019-05-11 06:19:02",,73.7
"2019-05-11 06:21:04",88.2
"2019-05-11 06:25:00",,73.7
"2019-05-11 06:27:01",88.1
"2019-05-11 06:30:57",,73.7
"2019-05-11 06:32:58",87.2
"2019-05-11 06:36:54",,73.6
"2019-05-11 06:38:55",85.7
"2019-05-11 06:42:50",,73.6
"2019-05-11 06:44:55",84.7
"2019-05-11 06:48:48",,73.2
"2019-05-11 06:50:49",85.2
"2019-05-11 06:54:46",,73.2
"2019-05-11 06:56:46",85.6
"2019-05-11 07:00:45",,73.1
"2019-05-11 07:02:43",85.9
"2019-05-11 07:06:40",,73
"2019-05-11 07:08:43",86.3
"2019-05-11 07:12:38",,73
"2019-05-11 07:14:35",86.5
"2019-05-11 07:18:33",,73
"2019-05-11 07:20:31",86.7
"2019-05-11 07:24:31",,72.9
"2019-05-11 07:26:33",86.8
"2019-05-11 07:30:28",,72.9
"2019-05-11 07:32:25",86.8
"2019-05-11 07:36:25",,72.9
"2019-05-11 07:38:20",86.5
"2019-05-11 07:42:20",,72.9
"2019-05-11 07:44:17",86.4
"2019-05-11 07:48:18",,72.7
"2019-05-11 07:50:14",86.3
"2019-05-11 07:54:14",,72.5
"2019-05-11 07:56:11",86.4
"2019-05-11 08:00:16",,72.5
"2019-05-11 08:02:08",86.5
"2019-05-11 08:06:18",,72.5
"2019-05-11 08:08:06",86.3
"2019-05-11 08:12:05",,72.5
"2019-05-11 08:14:01",86.5
"2019-05-11 08:18:00",,72.5
"2019-05-11 08:19:56",86.8
"2019-05-11 08:23:58",,72.3
"2019-05-11 08:25:52",86.8
"2019-05-11 08:29:55",,72.3
"2019-05-11 08:31:48",87
"2019-05-11 08:35:52",,72.3
"2019-05-11 08:37:42",87.2
"2019-05-11 08:41:55",,72.2
"2019-05-11 08:43:37",87.2
"2019-05-11 08:47:47",,72.2
