"Time","Storage Tank 2 Outlet"
"2019-05-10 08:26:44",133.8
"2019-05-10 08:41:36",136.1
"2019-05-10 08:56:29",137.2
"2019-05-10 09:41:13",138.6
"2019-05-10 09:56:09",138.5
"2019-05-10 10:09:02",138.3
"2019-05-10 10:23:56",138.3
"2019-05-10 10:38:50",137.3
"2019-05-10 10:53:43",135.5
"2019-05-10 11:04:54",136.3
"2019-05-10 11:19:48",138.8
"2019-05-10 11:34:48",138.7
"2019-05-10 11:49:36",138.7
"2019-05-10 12:04:32",138.6
"2019-05-10 12:19:30",138.4
"2019-05-10 12:31:56",137.7
"2019-05-10 12:46:20",138.4
"2019-05-10 13:01:19",138
"2019-05-10 13:16:08",137.3
"2019-05-10 13:31:01",136.9
"2019-05-10 13:45:57",136.1
"2019-05-10 14:00:52",137.7
"2019-05-10 14:15:48",138.4
"2019-05-10 14:30:42",138.4
"2019-05-10 14:45:39",138.1
"2019-05-10 15:30:38",137.8
"2019-05-10 15:45:33",137.2
"2019-05-10 15:59:06",136.4
"2019-05-10 16:14:01",137.1
"2019-05-10 16:28:53",138.6
"2019-05-10 16:43:48",138.6
"2019-05-10 16:58:42",138.4
"2019-05-10 17:10:44",138
"2019-05-10 17:25:40",137.2
"2019-05-10 17:40:26",135.8
"2019-05-10 17:50:32",132.8
"2019-05-10 18:02:42",136.8
"2019-05-10 18:17:38",136.7
"2019-05-10 18:32:27",136.4
"2019-05-10 18:47:24",137.8
"2019-05-10 19:02:15",137.8
"2019-05-10 19:17:07",137.6
"2019-05-10 19:32:05",136.5
"2019-05-10 19:46:54",135.1
"2019-05-10 20:01:45",134.7
"2019-05-10 20:16:39",135.3
"2019-05-10 20:31:34",136
"2019-05-10 20:46:26",137.1
"2019-05-10 21:01:26",138.3
"2019-05-10 21:16:16",138.3
"2019-05-10 21:31:07",138
"2019-05-10 22:16:55",138
"2019-05-10 22:31:49",138.3
"2019-05-10 22:46:40",138
"2019-05-10 23:00:12",136.8
"2019-05-10 23:15:05",138.4
"2019-05-10 23:29:58",138.6
"2019-05-10 23:42:49",138.1
"2019-05-10 23:57:47",136.2
"2019-05-11 00:12:36",137.8
"2019-05-11 00:27:31",137.9
"2019-05-11 00:42:24",137.7
"2019-05-11 00:57:18",137.2
"2019-05-11 01:11:15",135.5
"2019-05-11 01:26:07",138
"2019-05-11 01:40:59",138.2
"2019-05-11 01:55:52",137.9
"2019-05-11 02:10:21",136.8
"2019-05-11 02:25:13",135.7
"2019-05-11 02:40:06",137.7
"2019-05-11 02:54:59",137.6
"2019-05-11 03:09:53",137.4
"2019-05-11 03:23:42",136.1
"2019-05-11 03:38:35",136.9
"2019-05-11 03:53:29",137.9
"2019-05-11 04:08:20",137.7
"2019-05-11 04:22:21",137
"2019-05-11 04:37:17",135.5
"2019-05-11 04:52:10",137.6
"2019-05-11 05:07:08",137.9
"2019-05-11 05:21:57",137.6
"2019-05-11 05:31:52",134.8
"2019-05-11 05:46:44",135.7
"2019-05-11 06:01:39",136.8
"2019-05-11 06:16:34",138.1
"2019-05-11 06:31:28",138.1
"2019-05-11 06:45:57",136.8
"2019-05-11 07:00:51",137.1
"2019-05-11 07:15:43",137
"2019-05-11 07:30:37",137
"2019-05-11 07:45:28",137
"2019-05-11 08:00:21",136.7
"2019-05-11 08:13:31",133.1
"2019-05-11 08:28:25",132.5
"2019-05-11 08:43:22",132.6
"2019-05-11 08:58:12",133.8
"2019-05-11 09:13:09",135.4
"2019-05-11 09:28:03",135.6
"2019-05-11 10:12:48",134.7
"2019-05-11 10:27:40",132.7
"2019-05-11 10:42:35",132.6
"2019-05-11 10:57:30",132.6
"2019-05-11 11:36:15",132.6
"2019-05-11 11:51:09",132.6
"2019-05-11 12:06:03",132.6
"2019-05-11 12:20:56",133.5
"2019-05-11 12:35:52",134.5
"2019-05-11 12:50:45",137.4
"2019-05-11 13:05:41",137.9
"2019-05-11 13:20:35",137.8
"2019-05-11 13:35:30",137.5
"2019-05-11 13:50:25",137.7
"2019-05-11 14:05:24",138.5
"2019-05-11 14:20:19",138.5
"2019-05-11 14:35:08",138.5
"2019-05-11 14:48:08",137.7
"2019-05-11 15:03:06",136.8
"2019-05-11 15:17:56",137.9
"2019-05-11 15:32:50",138
"2019-05-11 15:47:47",137.9
"2019-05-11 16:01:53",137.9
"2019-05-11 16:16:50",138.2
"2019-05-11 16:31:40",136.8
"2019-05-11 16:46:38",136.1
"2019-05-11 16:58:22",137.2
"2019-05-11 17:13:14",138.3
"2019-05-11 17:28:10",137.6
"2019-05-11 17:40:48",136.9
"2019-05-11 17:54:02",138.5
"2019-05-11 18:08:58",137.3
"2019-05-11 18:23:52",136.2
"2019-05-11 18:36:49",136.5
"2019-05-11 18:51:48",138.2
"2019-05-11 19:06:36",137.8
"2019-05-11 19:17:52",137.3
"2019-05-11 19:31:39",138.8
"2019-05-11 19:46:34",137.4
"2019-05-11 20:01:29",136.1
"2019-05-11 20:10:51",135.6
"2019-05-11 20:25:41",137.6
"2019-05-11 20:40:26",135.3
"2019-05-11 20:52:56",133.1
"2019-05-11 21:06:10",135.2
"2019-05-11 21:21:02",133.9
"2019-05-11 21:35:58",136.1
"2019-05-11 21:50:49",137.9
"2019-05-11 22:05:48",137.8
"2019-05-11 22:20:38",137.4
"2019-05-11 22:35:32",136.5
"2019-05-11 22:50:27",137.7
"2019-05-11 23:05:21",138.3
"2019-05-11 23:20:19",138
"2019-05-11 23:35:08",137.9
"2019-05-11 23:48:51",135.6
