"Time","TMV 1 DHW Outlet","DHW Return"
"2019-05-07 15:09:39",,124.7
"2019-05-07 15:39:23",,124.8
"2019-05-07 16:26:54",,123.8
"2019-05-07 16:39:53",128.7
"2019-05-07 16:56:22",,124.4
"2019-05-07 17:21:09",,122.7
"2019-05-07 18:10:13",,123.2
"2019-05-07 18:21:56",128.8
"2019-05-07 19:28:36",,123.6
"2019-05-07 20:13:03",,121.4
"2019-05-07 20:41:55",,122
"2019-05-07 21:01:10",128.8
"2019-05-07 21:08:13",,120.7
"2019-05-07 22:00:24",,120.7
"2019-05-07 22:59:06",,123.8
"2019-05-07 23:14:47",128.6
"2019-05-07 23:43:35",,122.4
"2019-05-08 00:11:17",,124
"2019-05-08 00:35:01",128.6
"2019-05-08 00:39:23",,124.1
"2019-05-08 01:08:02",,121.1
"2019-05-08 01:36:58",,124
"2019-05-08 01:55:28",128.5
"2019-05-08 02:06:41",,124.3
"2019-05-08 02:36:20",,124.3
"2019-05-08 03:04:29",,123
"2019-05-08 03:15:44",128.5
"2019-05-08 03:34:13",,124.3
"2019-05-08 04:01:58",,123.9
"2019-05-08 04:30:35",,121.9
"2019-05-08 04:36:09",128.5
"2019-05-08 05:00:19",,120.2
"2019-05-08 05:27:49",,120.7
"2019-05-08 05:54:22",,121.9
"2019-05-08 05:56:45",128.6
"2019-05-08 06:24:03",,118.2
"2019-05-08 06:53:46",,117.9
"2019-05-08 07:16:51",128.2
"2019-05-08 07:23:30",,117.3
"2019-05-08 07:53:11",,117.5
"2019-05-08 08:22:51",,117.3
"2019-05-08 08:57:54",128.2
"2019-05-08 09:09:52",,119.4
"2019-05-08 10:04:09",,123.4
"2019-05-08 11:00:34",,123.2
"2019-05-08 11:03:27",128.5
"2019-05-08 11:30:14",,124.1
"2019-05-08 11:59:58",,124.5
"2019-05-08 12:22:23",128.3
"2019-05-08 12:29:13",,122.7
"2019-05-08 12:50:32",,121.6
"2019-05-08 13:20:17",,124.2
"2019-05-08 13:41:06",128.4
"2019-05-08 13:49:59",,124.1
"2019-05-08 14:19:43",,124.4
"2019-05-08 14:46:47",,122.8
"2019-05-08 14:55:53",128.4
"2019-05-08 15:16:27",,124.1
"2019-05-08 15:44:57",,124.4
"2019-05-08 16:32:34",,124
"2019-05-08 16:38:23",128.6
"2019-05-08 16:58:57",,123.3
"2019-05-08 17:27:04",,123.7
"2019-05-08 17:58:40",128.5
"2019-05-08 18:22:38",,124
"2019-05-08 18:49:20",,123.9
"2019-05-08 19:18:46",,121.5
"2019-05-08 19:20:56",128.5
"2019-05-08 19:43:39",,121.4
"2019-05-08 20:10:31",,120.8
"2019-05-08 20:39:27",,119.9
"2019-05-08 20:39:30",128.7
"2019-05-08 21:09:09",,119.4
"2019-05-08 21:36:35",,122.5
"2019-05-08 21:56:27",128.6
"2019-05-08 22:05:17",,120.7
"2019-05-08 22:34:57",,120.1
"2019-05-08 22:59:13",,122
"2019-05-08 23:16:54",128.5
"2019-05-08 23:26:41",,120.7
"2019-05-08 23:54:14",,122.1
"2019-05-09 00:22:02",,122.2
"2019-05-09 00:36:42",128.6
"2019-05-09 00:49:38",,124.5
"2019-05-09 01:19:18",,124.9
"2019-05-09 01:49:00",,124.9
"2019-05-09 01:56:56",128.9
"2019-05-09 02:18:42",,124.9
"2019-05-09 02:48:26",,125
"2019-05-09 03:18:07",,125
"2019-05-09 03:32:09",129.1
"2019-05-09 03:47:47",,124.7
"2019-05-09 04:17:25",,124.7
"2019-05-09 04:45:49",,122.8
"2019-05-09 04:52:19",129.3
"2019-05-09 05:13:58",,121.6
"2019-05-09 05:43:44",,118.9
"2019-05-09 06:12:35",129.4
"2019-05-09 06:13:25",,118.9
"2019-05-09 06:41:49",,118.9
"2019-05-09 07:11:33",,118.2
"2019-05-09 07:56:40",129.3
"2019-05-09 08:07:59",,118.8
"2019-05-09 08:37:42",,118.8
"2019-05-09 09:05:28",,122.6
"2019-05-09 09:16:57",129.2
"2019-05-09 09:33:14",,122.5
"2019-05-09 10:01:41",,124.5
"2019-05-09 10:26:48",,122.6
"2019-05-09 10:31:09",129.1
"2019-05-09 10:55:19",,124.2
"2019-05-09 11:22:52",,121.2
"2019-05-09 11:41:58",,124.1
"2019-05-09 11:48:38",128.9
"2019-05-09 12:00:58",,124.4
"2019-05-09 12:33:38",,124.6
"2019-05-09 13:03:09",,124.2
"2019-05-09 13:06:42",128.7
"2019-05-09 13:29:14",,123.5
"2019-05-09 13:58:56",,124.3
"2019-05-09 14:26:13",128.5
"2019-05-09 14:28:37",,124.4
"2019-05-09 14:58:16",,124.3
"2019-05-09 15:27:11",,123
"2019-05-09 15:43:08",128.6
"2019-05-09 15:55:15",,124.4
"2019-05-09 16:24:36",,123.9
"2019-05-09 17:02:07",128.6
"2019-05-09 17:02:56",,123.6
"2019-05-09 17:32:35",,124.7
"2019-05-09 18:02:08",,124.4
"2019-05-09 18:22:19",128.7
"2019-05-09 18:31:51",,124.8
"2019-05-09 18:58:30",,122.6
"2019-05-09 19:44:32",,123
"2019-05-09 19:58:30",128.6
"2019-05-09 20:07:26",128.5
"2019-05-09 20:12:13",128.9
"2019-05-09 20:13:03",,121.7
"2019-05-09 20:21:08",128.8
"2019-05-09 20:30:03",128.4
"2019-05-09 20:36:49",,122.3
"2019-05-09 20:36:57",128.5
"2019-05-09 20:43:27",128.4
"2019-05-09 20:48:07",128.8
"2019-05-09 20:56:43",128.8
"2019-05-09 21:05:20",,120.9
"2019-05-09 21:05:39",128.9
"2019-05-09 21:14:34",129.2
"2019-05-09 21:23:29",128.8
"2019-05-09 21:28:24",,123.3
"2019-05-09 21:32:24",128.4
"2019-05-09 21:41:20",128.7
"2019-05-09 21:50:16",128.2
"2019-05-09 22:17:33",,121
"2019-05-09 22:29:49",128.7
"2019-05-09 22:38:24",128.7
"2019-05-09 22:45:38",,119.3
"2019-05-09 22:46:15",128.8
"2019-05-09 22:55:09",128.8
"2019-05-09 23:04:11",128.4
"2019-05-09 23:13:03",128.1
"2019-05-09 23:14:15",,123.7
"2019-05-09 23:21:59",128.4
"2019-05-09 23:30:54",128.9
"2019-05-09 23:39:52",128.7
"2019-05-09 23:41:24",,120.3
"2019-05-09 23:48:44",128.4
"2019-05-10 00:24:26",128.3
"2019-05-10 00:33:25",128.6
"2019-05-10 00:37:49",,123.9
"2019-05-10 00:42:14",128.3
"2019-05-10 00:51:10",128.4
"2019-05-10 01:00:06",128.6
"2019-05-10 01:07:31",,124.2
"2019-05-10 01:09:03",128.5
"2019-05-10 01:17:57",128.5
"2019-05-10 01:26:52",128.7
"2019-05-10 01:35:48",128.8
"2019-05-10 01:36:27",,121.3
"2019-05-10 01:44:46",128.5
"2019-05-10 01:53:41",128.4
"2019-05-10 02:02:34",128.5
"2019-05-10 02:04:12",,123.8
"2019-05-10 02:11:30",128.5
"2019-05-10 02:20:27",128.5
"2019-05-10 02:29:23",128.4
"2019-05-10 02:33:59",,124.2
"2019-05-10 02:38:33",128.5
"2019-05-10 02:47:25",128.7
"2019-05-10 02:56:12",128.5
"2019-05-10 03:02:42",,123.4
"2019-05-10 03:05:07",128.7
"2019-05-10 03:14:16",128.7
"2019-05-10 03:23:01",128.7
"2019-05-10 03:31:59",128.9
"2019-05-10 03:32:25",,124.6
"2019-05-10 03:40:53",128.9
"2019-05-10 03:49:50",128.9
"2019-05-10 03:58:41",129.1
"2019-05-10 04:02:06",,124.8
"2019-05-10 04:07:36",128.9
"2019-05-10 04:16:32",129.3
"2019-05-10 04:25:26",129.3
"2019-05-10 04:29:37",,123.2
"2019-05-10 04:34:20",128.9
"2019-05-10 04:43:15",129
"2019-05-10 04:52:11",129.2
"2019-05-10 04:56:47",,124
"2019-05-10 05:01:05",129.5
"2019-05-10 05:09:00",128.9
"2019-05-10 05:17:56",129.4
"2019-05-10 05:23:52",,122.3
"2019-05-10 05:26:49",129.5
"2019-05-10 05:35:45",129.6
"2019-05-10 05:41:00",129.6
