"Time","TMV 1 DHW Outlet","TMV 1 DHW Inlet"
"2019-05-09 21:38:07",,140.7
"2019-05-09 21:41:20",128.7
"2019-05-09 21:50:16",128.2
"2019-05-09 22:18:25",,138
"2019-05-09 22:29:49",128.7
"2019-05-09 22:38:24",128.7
"2019-05-09 22:44:16",,140.2
"2019-05-09 22:46:15",128.8
"2019-05-09 22:55:09",128.8
"2019-05-09 23:04:11",128.4
"2019-05-09 23:10:58",,141.3
"2019-05-09 23:13:03",128.1
"2019-05-09 23:21:59",128.4
"2019-05-09 23:30:54",128.9
"2019-05-09 23:37:36",,141.1
"2019-05-09 23:39:52",128.7
"2019-05-09 23:48:44",128.4
"2019-05-10 00:24:26",128.3
"2019-05-10 00:28:00",,140.7
"2019-05-10 00:33:25",128.6
"2019-05-10 00:42:14",128.3
"2019-05-10 00:51:10",128.4
"2019-05-10 00:54:43",,139.7
"2019-05-10 01:00:06",128.6
"2019-05-10 01:09:03",128.5
"2019-05-10 01:17:57",128.5
"2019-05-10 01:21:24",,141.3
"2019-05-10 01:26:52",128.7
"2019-05-10 01:35:48",128.8
"2019-05-10 01:44:46",128.5
"2019-05-10 01:48:09",,141.2
"2019-05-10 01:53:41",128.4
"2019-05-10 02:02:34",128.5
"2019-05-10 02:11:30",128.5
"2019-05-10 02:14:50",,141.1
"2019-05-10 02:20:27",128.5
"2019-05-10 02:29:23",128.4
"2019-05-10 02:38:33",128.5
"2019-05-10 02:41:31",,141.3
"2019-05-10 02:47:25",128.7
"2019-05-10 02:56:12",128.5
"2019-05-10 03:05:07",128.7
"2019-05-10 03:08:13",,140.9
"2019-05-10 03:14:16",128.7
"2019-05-10 03:23:01",128.7
"2019-05-10 03:31:59",128.9
"2019-05-10 03:34:53",,141.5
"2019-05-10 03:40:53",128.9
"2019-05-10 03:49:50",128.9
"2019-05-10 03:58:41",129.1
"2019-05-10 04:01:33",,141.7
"2019-05-10 04:07:36",128.9
"2019-05-10 04:16:32",129.3
"2019-05-10 04:25:26",129.3
"2019-05-10 04:28:11",,141.4
"2019-05-10 04:34:20",128.9
"2019-05-10 04:43:15",129
"2019-05-10 04:52:11",129.2
"2019-05-10 04:54:49",,142.1
"2019-05-10 05:01:05",129.5
"2019-05-10 05:09:00",128.9
"2019-05-10 05:17:56",129.4
"2019-05-10 05:21:32",,142
"2019-05-10 05:26:49",129.5
"2019-05-10 05:35:45",129.6
"2019-05-10 05:41:00",129.6
"2019-05-10 05:48:07",,140.3
"2019-05-10 05:49:55",129.5
"2019-05-10 05:58:50",129.2
"2019-05-10 06:07:47",129.1
"2019-05-10 06:14:46",,137
"2019-05-10 06:16:42",129.2
"2019-05-10 06:25:39",129.1
"2019-05-10 06:34:36",129
"2019-05-10 06:59:10",,136.3
"2019-05-10 07:08:30",128.9
"2019-05-10 07:17:20",128.9
"2019-05-10 07:25:51",,136.1
"2019-05-10 07:26:15",128.9
"2019-05-10 07:35:11",129
"2019-05-10 07:44:07",129
"2019-05-10 07:52:32",,136.2
"2019-05-10 07:53:02",128.7
"2019-05-10 08:01:58",128.7
"2019-05-10 08:10:55",128.7
"2019-05-10 08:19:14",,136.2
"2019-05-10 08:19:51",129
"2019-05-10 08:28:45",129.3
"2019-05-10 08:37:41",129.2
"2019-05-10 08:45:56",,138.9
"2019-05-10 08:46:38",129.1
"2019-05-10 08:55:33",129.4
"2019-05-10 09:04:27",129.4
"2019-05-10 09:37:29",129.6
"2019-05-10 09:42:12",,141.3
"2019-05-10 09:45:31",129.2
"2019-05-10 09:54:25",129.6
"2019-05-10 10:03:20",129.2
"2019-05-10 10:07:25",,141.6
"2019-05-10 10:09:40",129.7
"2019-05-10 10:18:36",129.2
"2019-05-10 10:27:32",129.6
"2019-05-10 10:34:07",,141.2
"2019-05-10 10:36:28",129.3
"2019-05-10 10:45:22",129.5
"2019-05-10 10:54:17",129.4
"2019-05-10 11:00:06",,138.8
"2019-05-10 11:03:12",129.5
"2019-05-10 11:12:07",129.4
"2019-05-10 11:21:02",129.2
"2019-05-10 11:26:41",,141.9
"2019-05-10 11:29:57",129.5
"2019-05-10 11:38:53",129.4
"2019-05-10 11:47:48",129.4
"2019-05-10 11:53:20",,142.1
"2019-05-10 11:56:43",129.2
"2019-05-10 12:05:36",129.2
"2019-05-10 12:14:33",129
"2019-05-10 12:20:00",,141.7
"2019-05-10 12:23:30",129
"2019-05-10 12:32:25",129.5
"2019-05-10 12:39:11",128.8
"2019-05-10 12:44:37",,141.4
"2019-05-10 12:48:06",129
"2019-05-10 12:57:02",129
"2019-05-10 13:05:58",129.1
"2019-05-10 13:11:21",,140.9
"2019-05-10 13:14:53",129
"2019-05-10 13:23:53",129
"2019-05-10 13:32:43",129.2
"2019-05-10 13:37:58",,140.2
"2019-05-10 13:41:36",129.2
"2019-05-10 13:50:31",129.2
"2019-05-10 13:59:26",128.9
"2019-05-10 14:04:35",,140.6
"2019-05-10 14:08:06",129.4
"2019-05-10 14:15:25",128.9
"2019-05-10 14:24:18",129
"2019-05-10 14:31:14",,141.8
"2019-05-10 14:33:13",129.4
"2019-05-10 14:39:09",128.9
"2019-05-10 14:48:04",128.7
"2019-05-10 15:26:30",128.6
"2019-05-10 15:31:09",,141.1
"2019-05-10 15:35:27",128.7
"2019-05-10 15:44:25",128.5
"2019-05-10 15:53:17",129
"2019-05-10 15:57:47",,140.1
"2019-05-10 16:02:17",128.7
"2019-05-10 16:11:08",128.9
"2019-05-10 16:20:03",129.1
"2019-05-10 16:24:27",,140.7
"2019-05-10 16:28:58",128.8
"2019-05-10 16:37:53",128.9
"2019-05-10 16:46:48",128.5
"2019-05-10 16:51:06",,141.7
"2019-05-10 16:55:56",128.9
"2019-05-10 17:04:42",129
"2019-05-10 17:11:00",129.3
"2019-05-10 17:17:47",,141.2
"2019-05-10 17:19:52",128.8
"2019-05-10 17:28:46",128.7
"2019-05-10 17:37:41",128.7
"2019-05-10 17:44:25",,138.8
"2019-05-10 17:46:36",128.7
"2019-05-10 17:53:55",128.9
"2019-05-10 18:01:35",128.8
"2019-05-10 18:04:35",,138.4
"2019-05-10 18:10:32",128.8
"2019-05-10 18:19:27",129.2
"2019-05-10 18:28:24",129
"2019-05-10 18:31:15",,139.5
"2019-05-10 18:37:20",128.7
"2019-05-10 18:46:14",128.5
"2019-05-10 18:55:10",128.6
"2019-05-10 18:57:54",,141.1
"2019-05-10 19:04:06",129
"2019-05-10 19:13:01",128.8
"2019-05-10 19:21:56",128.8
"2019-05-10 19:24:34",,140.9
"2019-05-10 19:30:52",129.2
"2019-05-10 19:39:47",128.8
"2019-05-10 19:48:42",128.5
"2019-05-10 19:50:19",,138.5
"2019-05-10 19:57:36",128.8
"2019-05-10 20:06:35",128.7
"2019-05-10 20:15:29",128.6
"2019-05-10 20:17:06",,138.1
"2019-05-10 20:24:25",128.9
"2019-05-10 20:33:25",128.8
"2019-05-10 20:40:58",129
"2019-05-10 20:43:43",,139.6
"2019-05-10 20:49:55",128.7
"2019-05-10 20:58:50",129.3
"2019-05-10 21:07:50",128.7
"2019-05-10 21:10:24",,141.4
"2019-05-10 21:15:08",128.9
"2019-05-10 21:24:06",128.9
"2019-05-10 21:32:59",128.8
"2019-05-10 21:37:04",,141.3
"2019-05-10 21:41:54",128.4
"2019-05-10 22:23:34",128.7
"2019-05-10 22:30:17",128.7
"2019-05-10 22:35:35",,141.4
"2019-05-10 22:39:14",129.1
"2019-05-10 22:46:18",128.9
