"Time","02-02 Riser Return","02 Riser Return"
"2019-04-25 12:25:44",101.5
"2019-04-25 12:37:22",,91.8
"2019-04-25 12:46:24",96.4
"2019-04-25 12:55:22",,90.8
"2019-04-25 13:13:15",,93.1
"2019-04-25 13:13:15",100.9
"2019-04-25 13:31:09",,93.9
"2019-04-25 13:40:10",100.6
"2019-04-25 13:49:02",,91.5
"2019-04-25 14:06:58",,90.9
"2019-04-25 14:07:03",97.4
"2019-04-25 14:24:51",,90.9
"2019-04-25 14:34:03",96.9
"2019-04-25 14:42:46",,89.7
"2019-04-25 14:54:18",98.1
"2019-04-25 15:00:15",,92.4
"2019-04-25 15:18:08",,94
"2019-04-25 15:21:06",101.2
"2019-04-25 15:33:47",,91.5
"2019-04-25 15:45:37",97.8
"2019-04-25 15:51:03",,93.3
"2019-04-25 16:05:37",101.9
"2019-04-25 16:08:56",,94.1
"2019-04-25 16:26:53",,93.8
"2019-04-25 16:30:08",102.2
"2019-04-25 16:44:48",,94.9
"2019-04-25 16:57:00",101.9
"2019-04-25 17:02:44",,93.3
"2019-04-25 17:20:43",,90.6
"2019-04-25 17:23:55",95.8
"2019-04-25 17:38:35",,89.6
"2019-04-25 17:50:46",93
"2019-04-25 17:56:32",,88.3
"2019-04-25 18:14:27",,87.2
"2019-04-25 18:16:17",91.6
"2019-04-25 18:32:04",,89.2
"2019-04-25 18:39:51",95.2
"2019-04-25 18:50:03",,87.8
"2019-04-25 19:05:18",95.2
"2019-04-25 19:07:54",,89.5
"2019-04-25 19:25:49",,93.7
"2019-04-25 19:30:55",101.7
"2019-04-25 19:43:43",,93
"2019-04-25 19:57:51",96.8
"2019-04-25 20:01:36",,89.9
"2019-04-25 20:19:26",,91.6
"2019-04-25 20:21:05",97.9
"2019-04-25 20:37:22",,93.4
"2019-04-25 20:46:29",102.4
"2019-04-25 20:55:17",,95
"2019-04-25 21:12:40",101.2
"2019-04-25 21:13:16",,93.4
"2019-04-25 21:31:14",,92.1
"2019-04-25 21:39:30",98.2
"2019-04-25 21:49:08",,90.7
"2019-04-25 22:06:23",95.6
"2019-04-25 22:07:08",,89.7
"2019-04-25 22:24:51",,89.6
"2019-04-25 22:33:11",95.9
"2019-04-25 22:42:57",,89.7
"2019-04-25 22:58:06",99.4
"2019-04-25 23:00:44",,92.7
"2019-04-25 23:18:36",,94
"2019-04-25 23:24:59",101.8
"2019-04-25 23:36:32",,93.4
"2019-04-25 23:51:53",98.8
"2019-04-25 23:54:27",,91.7
"2019-04-26 00:12:23",,92
"2019-04-26 00:18:40",98.1
"2019-04-26 00:30:22",,89.6
"2019-04-26 00:45:33",92.3
"2019-04-26 00:48:13",,87
"2019-04-26 01:06:10",,86.3
"2019-04-26 01:10:20",91.2
"2019-04-26 01:24:11",,88
"2019-04-26 01:36:41",96.2
"2019-04-26 01:42:03",,90.9
"2019-04-26 01:56:14",99.3
"2019-04-26 01:59:51",,92.7
"2019-04-26 02:17:46",,94.8
"2019-04-26 02:23:03",102.1
"2019-04-26 02:35:43",,91.9
"2019-04-26 02:49:59",94.5
"2019-04-26 02:53:36",,88.4
"2019-04-26 03:11:30",,86.9
"2019-04-26 03:16:49",89.1
"2019-04-26 03:29:26",,84.7
"2019-04-26 03:43:43",84.6
"2019-04-26 03:47:22",,82.6
"2019-04-26 04:05:22",,80.7
"2019-04-26 04:10:39",81.6
"2019-04-26 04:23:13",,80.3
"2019-04-26 04:37:02",82.6
"2019-04-26 04:41:08",,83.1
"2019-04-26 04:59:02",,81.9
"2019-04-26 05:03:49",82.2
"2019-04-26 05:16:10",,81
"2019-04-26 05:25:54",84.5
"2019-04-26 05:34:04",,82.5
"2019-04-26 05:52:01",,81.5
"2019-04-26 05:52:49",84.9
"2019-04-26 06:07:11",90.4
"2019-04-26 06:07:22",,84.7
"2019-04-26 06:24:23",,89.6
"2019-04-26 06:33:17",95.2
"2019-04-26 06:42:16",,89.4
"2019-04-26 06:57:58",98.4
"2019-04-26 07:00:13",,92.3
"2019-04-26 07:18:12",,95.2
"2019-04-26 07:24:19",103.6
"2019-04-26 07:36:01",,95.7
"2019-04-26 07:47:24",102
"2019-04-26 07:53:56",,94.5
"2019-04-26 08:11:52",,95.2
"2019-04-26 08:13:23",103.8
"2019-04-26 08:29:52",,95.1
"2019-04-26 08:38:53",102.1
"2019-04-26 08:46:49",,93.9
"2019-04-26 09:00:36",100.7
"2019-04-26 09:04:45",,92.3
"2019-04-26 09:22:05",98.8
"2019-04-26 09:22:42",,92
"2019-04-26 09:40:39",,92.7
"2019-04-26 09:43:22",100
"2019-04-26 09:58:05",,93.5
"2019-04-26 10:08:20",101.8
"2019-04-26 10:16:02",,93.7
"2019-04-26 10:33:56",,93.8
"2019-04-26 10:35:17",101.3
"2019-04-26 10:51:50",,91.5
"2019-04-26 11:01:13",95.7
"2019-04-26 11:09:03",,89.9
"2019-04-26 11:19:10",98.1
"2019-04-26 11:26:30",,92.2
"2019-04-26 11:44:23",,94.2
"2019-04-26 11:46:02",102.1
"2019-04-26 12:02:16",,94.2
"2019-04-26 12:11:13",99.8
"2019-04-26 12:18:14",,92.7
"2019-04-26 12:30:57",101.8
"2019-04-26 12:36:11",,94.2
"2019-04-26 12:54:10",,93.7
"2019-04-26 12:54:15",100.9
"2019-04-26 13:11:57",,92.6
"2019-04-26 13:20:53",97.7
"2019-04-26 13:29:53",,91.2
"2019-04-26 13:47:48",96.1
"2019-04-26 13:47:49",,90.3
"2019-04-26 14:05:45",,89.9
"2019-04-26 14:14:45",96.8
"2019-04-26 14:23:39",,90.7
"2019-04-26 14:41:29",98.5
"2019-04-26 14:41:34",,91.8
"2019-04-26 14:59:26",,92.1
"2019-04-26 15:08:20",100
"2019-04-26 15:17:23",,93.4
"2019-04-26 15:35:19",,94.1
"2019-04-26 15:35:25",102.2
"2019-04-26 15:53:18",,94.2
"2019-04-26 16:02:04",101.9
"2019-04-26 16:11:08",,93
"2019-04-26 16:28:55",97.5
"2019-04-26 16:29:03",,90.8
"2019-04-26 16:46:57",,91.2
"2019-04-26 16:55:44",97.9
"2019-04-26 17:04:52",,90.8
"2019-04-26 17:22:06",97
"2019-04-26 17:22:44",,90.3
"2019-04-26 17:40:41",,92.5
"2019-04-26 17:48:51",101.4
"2019-04-26 17:58:38",,94.1
"2019-04-26 18:15:43",101
"2019-04-26 18:16:25",,93.2
"2019-04-26 18:34:20",,92
"2019-04-26 18:42:12",98.7
"2019-04-26 18:52:13",,91.9
"2019-04-26 19:09:05",97.9
"2019-04-26 19:10:18",,91.1
"2019-04-26 19:28:02",,91.1
"2019-04-26 19:35:56",97.7
"2019-04-26 19:46:04",,91.3
"2019-04-26 20:02:43",100.1
"2019-04-26 20:03:57",,92.9
"2019-04-26 20:21:56",,94
"2019-04-26 20:27:20",102.3
"2019-04-26 20:39:41",,95.1
"2019-04-26 20:52:12",103.1
"2019-04-26 20:57:38",,94.5
"2019-04-26 21:10:40",101.9
"2019-04-26 21:14:15",,94.6
"2019-04-26 21:32:11",,93.9
"2019-04-26 21:37:32",101.1
"2019-04-26 21:50:07",,93.3
"2019-04-26 22:04:25",98.1
"2019-04-26 22:08:00",,91.5
"2019-04-26 22:25:54",,91.6
"2019-04-26 22:30:19",98.2
"2019-04-26 22:43:48",,90.1
"2019-04-26 22:48:31",95.2
"2019-04-26 22:52:58",,91.1
"2019-04-26 23:05:44",101.1
"2019-04-26 23:10:54",,94.4
"2019-04-26 23:28:48",,93.4
"2019-04-26 23:31:43",99.2
"2019-04-26 23:46:40",,92
"2019-04-26 23:58:36",94.8
